Song,Album debut,Songwriter(s)[a],Lead vocal(s)[3],Year,Notes,Ref(s)
"""If You've Got Trouble""",*Anthology 2*,"Lennon
McCartney",Starr,1965,,[4]
"""I'll Be Back""","UK: *A Hard Day's Night*
US: *Beatles '65*",Lennon,Lennon and McCartney,1964,,[14][19]
"""I'll Be on My Way""",*Live at the BBC*,McCartney,Lennon,1963,"Single by Billy J Kramer with the Dakotas
(April 1963)",[28]
"""I'll Cry Instead""","UK: *A Hard Day's Night*
US: *Something New*",Lennon,Lennon,1964,,[14][15]
"""I'll Follow the Sun""","UK: *Beatles for Sale*
US: *Beatles '65*",McCartney,"McCartney
(with Lennon)",1964,,[18][19]
"""I'll Get You""","UK: *Past Masters Volume 1*
US: *The Beatles' Second Album*","Lennon
McCartney","Lennon
(with McCartney)",1963,,[31]
"""I'm a Loser""","UK: *Beatles for Sale*
US: *Beatles '65*",Lennon,Lennon,1964,,[18][19]
"""I'm Down""",*Rock 'n' Roll Music*,McCartney,McCartney,1965,,
"""I'm Gonna Sit Right Down and Cry (Over You)""",*Live at the BBC*,"Joe Thomas
Howard Biggs",Lennon,1963,,[28]
"""I'm Happy Just to Dance with You""","UK: *A Hard Day's Night*
US: *Something New*","Lennon
McCartney",Harrison,1964,,[14][15]
"""I'm In Love"" (demo)",*The Beatles Bootleg Recordings 1963*,Lennon,Lennon,1963,"Written for The Fourmost
(single released November 1963)",
"""I'm Looking Through You""",*Rubber Soul*,McCartney,"McCartney
(with Lennon)",1965,,[32]
"""I'm Only Sleeping""","UK: *Revolver*
US: *Yesterday and Today*",Lennon,Lennon,1966,,[16][7]
"""I'm So Tired""",*The Beatles*,Lennon,Lennon,1968,,[20]
"""I'm Talking About You""","*Live! at the Star-Club in Hamburg, Germany; 1962*",Chuck Berry,Lennon,1962,,
"""In My Life""",*Rubber Soul*,"Lennon
McCartney",Lennon,1965,,[32]
"""In Spite of All the Danger""",*Anthology 1*,McCartney and Harrison,Lennon,1958,,[8]
"""The Inner Light""","UK: *Rarities*
US: *Rarities*",Harrison,Harrison,1968,,
"""It Won't Be Long""","UK: *With the Beatles*
US: *Meet the Beatles!*","Lennon
(with McCartney)",Lennon,1963,,[9][10]
"""It's All Too Much""",*Yellow Submarine*,Harrison,Harrison,1967,,[12]
"""It's Only Love""","UK: *Help!*
US: *Rubber Soul*",Lennon,Lennon,1965,,[32][35]
"""I've Got a Feeling""",*Let It Be*,"McCartney
(with Lennon)","McCartney
(with Lennon)",1969,,[5]
"""I've Just Seen a Face""","UK: *Help!*
US: *Rubber Soul*",McCartney,McCartney,1965,,[6][35]
"""Jazz Piano Song""",*Let it Be* film,"McCartney
Starr",McCartney,1969,,
"""Jessie's Dream""",*Magical Mystery Tour*,"Lennon, McCartney, Harrison, Starr",Instrumental,1967,,
"""Johnny B. Goode""",*Live at the BBC*,Chuck Berry,Lennon,1964,,[28]
"""Julia""",*The Beatles*,Lennon,Lennon,1968,,[20]
"""Junk""",*Anthology 3*,McCartney,McCartney,1968,,[11]
"""Kansas City/Hey-Hey-Hey-Hey!""","UK: *Beatles for Sale*
US: *Beatles VI*",Jerry Leiber and Mike Stoller/Little Richard,McCartney,1964,,[18][22]
"""Keep Your Hands Off My Baby""",*Live at the BBC*,"Gerry Goffin
Carole King",Lennon,1963,,[28]
"""Komm, gib mir deine Hand"" 
(German version of ""I Want to Hold Your Hand"")","UK: *Rarities*
US: *Something New*","Lennon
McCartney
Jean Nicolas
Heinz Hellmer","Lennon
McCartney",1964,,[15]
"""Lady Madonna""","UK: *1967-1970*
US: *Hey Jude*","McCartney
(with Lennon)",McCartney,1968,,
"""Leave My Kitten Alone""",*Anthology 1*,"Little Willie John
Titus Turner
James McDougall",Lennon,1964,,[8]
"""Lend Me Your Comb""",*Anthology 1*,"Kay Twomey
Fred Wise
Ben Weisman","Lennon
McCartney",1963,,[8]
"""Let It Be""",*Let It Be*,McCartney,McCartney,1969,,[5]
"""Like Dreamers Do""",*Anthology 1*,McCartney,McCartney,1962,Recorded by The Applejacks,[8]
"""Little Child""","UK: *With the Beatles*
US: *Meet the Beatles!*","Lennon
McCartney","Lennon
McCartney",1963,,[9][10]
"""Lonesome Tears in My Eyes""",*Live at the BBC*,"Johnny Burnette
Dorsey Burnette
Paul Burlison
Al Mortimer",Lennon,1963,,[28]
"""The Long and Winding Road""",*Let It Be*,McCartney,McCartney,1969,,[5]
"""Long, Long, Long""",*The Beatles*,Harrison,Harrison,1968,,[20]
"""Long Tall Sally""","UK: *Long Tall Sally* (EP)
US: *The Beatles' Second Album*","Robert ""Bumps"" Blackwell
Enotris Johnson
Little Richard",McCartney,1964,,[34][31]
"""Looking Glass”",,McCartney,McCartney,1962,,
"""Love Me Do""","UK: *Please Please Me*
US: *The Early Beatles*","McCartney
(with Lennon)","McCartney
(with Lennon)",1962,,[17]
"""Love of the Loved""",,"McCartney
(with Lennon)",McCartney,1962,"Single by Cilla Black
(September 1963)",
"""Love You To""",*Revolver*,Harrison,Harrison,1966,,[16]
"""Lovely Rita""",*Sgt. Pepper's Lonely Hearts Club Band*,McCartney,McCartney,1967,,[27]
"""Lucille""",*Live at the BBC*,"Little Richard
Albert Collins",McCartney,1963,,[28]
"""Lucy in the Sky with Diamonds""",*Sgt. Pepper's Lonely Hearts Club Band*,Lennon,Lennon,1967,,[27]
"""Madman""",N/A,Lennon,Lennon,1969,From *Get Back/Let It Be* sessions,
"""Maggie Mae""",*Let It Be*,"Traditional, arr. Lennon, McCartney
Harrison, Starr","Lennon
(with McCartney)",1969,,[5]
"""Magical Mystery Tour""",*Magical Mystery Tour*,"McCartney
(with Lennon)","McCartney
(with Lennon)",1967,,[13]
"""Mailman, Bring Me No More Blues""",*Anthology 3*,"Ruth Roberts
Bill Katz
Stanley Clayton",Lennon,1969,,[11]
"""Martha My Dear""",*The Beatles*,McCartney,McCartney,1968,,[20]
"""Matchbox""","UK: *Long Tall Sally* (EP)
US: *Something New*","Carl Perkins
Blind Lemon Jefferson",Starr,1964,,[34][15]
"""Maxwell's Silver Hammer""",*Abbey Road*,McCartney[36],McCartney,1969,,[26]
"""Mean Mr. Mustard""",*Abbey Road*,Lennon[37],"Lennon
(with McCartney)",1969,,[26]
"""Memphis, Tennessee""",*Live at the BBC*,Chuck Berry,Lennon,1963,,[28]
"""Michelle""",*Rubber Soul*,"McCartney
(with Lennon)",McCartney,1965,,[32]
"""Misery""","UK: *Please Please Me*
US: *Introducing… The Beatles*","Lennon
(with McCartney)",Lennon and McCartney,1963,,[17]
"""Money (That's What I Want)""","UK: *With the Beatles*
US: *The Beatles' Second Album*","Berry Gordy
Janie Bradford",Lennon,1963,,[9][31]
"""Moonlight Bay""",*Anthology 1*,"Percy Wenrich
Edward Madden","Lennon
McCartney
Harrison
Eric Morecambe
Ernie Wise",1963,,[8]
"""Mother Nature's Son""",*The Beatles*,McCartney,McCartney,1968,,[20]
"""Mr. Moonlight""","UK: *Beatles for Sale*
US: *Beatles '65*",Roy Lee Johnson,Lennon,1964,,[18][19]
"""The Night Before""",*Help!*,McCartney,McCartney,1965,,[6]
"""No Reply""","UK: *Beatles for Sale*
US: *Beatles '65*","Lennon
(with McCartney)","Lennon
(with McCartney)",1964,,[18][19]
"""Norwegian Wood (This Bird Has Flown)""",*Rubber Soul*,"Lennon
(with McCartney)",Lennon,1965,,[32]
"""Not a Second Time""","UK: *With the Beatles*
US: *Meet the Beatles!*",Lennon,Lennon,1963,,[9][10]
"""Not Guilty""",*Anthology 3*,Harrison,Harrison,1968,,[11]
"""Nothin' Shakin' (But the Leaves on the Trees)""",*Live at the BBC*,Eddie Fontaine,Harrison,1963,,[28]
"""Now and Then""",Unreleased,Lennon,Lennon,"1979, 1995",,
"""Nowhere Man""","UK: *Rubber Soul*
US: *Yesterday and Today*","Lennon
(with McCartney)","Lennon
(with McCartney and Harrison)",1965,,[32][7]
"""Ob-La-Di, Ob-La-Da""",*The Beatles*,McCartney,McCartney,1968,,[20]
"""Octopus's Garden""",*Abbey Road*,Starr[d],Starr,1969,,[26]
"""Oh! Darling""",*Abbey Road*,McCartney[29],McCartney,1969,,[26]
"""Old Brown Shoe""","UK: *1967–1970*
US: *Hey Jude*",Harrison,Harrison,1969,,[23]
"""One After 909""",*Let It Be*,Lennon,"Lennon
(with McCartney)",1969,,[5]
"""One and One Is Two""",,McCartney,McCartney,1964,"Single by The Strangers with Mike Shannon
(May 1964)",
"""Only a Northern Song""",*Yellow Submarine*,Harrison,Harrison,1967,,[12]
"""Ooh! My Soul""",*Live at the BBC*,Little Richard,McCartney,1963,,[28]
"""Paperback Writer""","UK: *A Collection of Beatles Oldies*
US: *Hey Jude*",McCartney,McCartney,1966,,[21]
"""Penny Lane""",*Magical Mystery Tour*,McCartney,McCartney,1966,,[13]
"""Piggies""",*The Beatles*,Harrison,Harrison,1968,,[20]
"""Please Mr. Postman""","UK: *With the Beatles*
US: *The Beatles' Second Album*","Georgia Dobbins
William Garrett
Brian Holland
Robert Bateman
Freddie Gorman",Lennon,1963,,[9][31]
"""Please Please Me""","UK: *Please Please Me*
US: *The Early Beatles*",Lennon,Lennon and McCartney,1962,,[17]
"""Polythene Pam""",*Abbey Road*,Lennon,Lennon,1969,,[26]
"""P.S. I Love You""","UK: *Please Please Me*
US: *The Early Beatles*","McCartney
(with Lennon)",McCartney,1962,,[17]
"""Rain""","UK: *Rarities*
US: *Hey Jude*",Lennon,Lennon,1966,,
"""Real Love""",*Anthology 2*,Lennon,Lennon,"1980, 1995",,[4]
"""Revolution""","UK: *1967-1970*
US: *Hey Jude*",Lennon,Lennon,1968,,
"""Revolution 1""",*The Beatles*,Lennon,Lennon,1968,,[20]
"""Revolution 9""",*The Beatles*,"Lennon
(with Ono and Harrison)",Sound Collage,1968,,[20]
"""Rip It Up""/""Shake, Rattle, and Roll""/""Blue Suede Shoes""",*Anthology 3*,"Robert Blackwell, John Marascalco (""Rip It Up”)
Charles Calhoun(“Shake, Rattle, and Roll”)
Carl Perkins (""Blue Suede Shoes"")","Lennon
McCartney",1969,,[11]
"""Rock and Roll Music""","UK: *Beatles for Sale*
US: *Beatles '65*",Chuck Berry,Lennon,1964,,[18][19]
"""Rocky Raccoon""",*The Beatles*,"McCartney
(with Lennon)",McCartney,1968,,[20]
"""Roll Over Beethoven""","UK: *With the Beatles*
US: *The Beatles' Second Album*",Chuck Berry,Harrison,1963,,[9][31]
"""Run for Your Life""",*Rubber Soul*,"Lennon
(with McCartney)",Lennon,1965,,[32]
"""Savoy Truffle""",*The Beatles*,Harrison,Harrison,1968,,[20]
"""Searchin'""",*Anthology 1*,Jerry Leiber and Mike Stoller,McCartney,1962,,[8]
"""September in the Rain""",,"Al Dubin
Harry Warren",McCartney,1962,,
"""Sexy Sadie""",*The Beatles*,Lennon,Lennon,1968,,[20]
"""Sgt. Pepper's Lonely Hearts Club Band""",*Sgt. Pepper's Lonely Hearts Club Band*,McCartney,"McCartney
(with Lennon, Harrison and Starr)",1967,,[27]
"""Sgt. Pepper's Lonely Hearts Club Band (Reprise)""",*Sgt. Pepper's Lonely Hearts Club Band*,McCartney,"McCartney
Lennon
Harrison
Starr",1967,,[27]
"""Shakin' in the Sixties""",Unreleased,Lennon,Lennon,1969,,
"""She Came In Through the Bathroom Window""",*Abbey Road*,McCartney,McCartney,1969,,[26]
"""She Loves You""","UK: *A Collection of Beatles Oldies*
US: *The Beatles' Second Album*","Lennon
McCartney","Lennon
McCartney",1963,,[21][31]
"""She Said She Said""",*Revolver*,Lennon,Lennon,1966,,[16]
"""She's a Woman""","UK: *Rarities*
US: *Beatles '65*","McCartney 

(with Lennon)",McCartney,1964,,[19]
"""She's Leaving Home""",*Sgt. Pepper's Lonely Hearts Club Band*,"McCartney
(with Lennon)","McCartney
(with Lennon)",1967,,[27]
"""The Sheik of Araby""",*Anthology 1*,"Harry B. Smith
Francis Wheeler
Ted Snyder",Harrison,1962,,[8]
"""A Shot of Rhythm and Blues""",*Live at the BBC*,Terry Thompson,Lennon,1963,,[28]
"""Shout""",*Anthology 1*,"Rudolph Isley
Ronald Isley
O'Kelly Isley Jr.","Lennon
McCartney
Harrison
Starr",1964,,[8]
"""Sie liebt dich"" 
(German version of ""She Loves You"")","UK: *Rarities*
US: *Rarities*","Lennon
McCartney
Jean Nicolas
Lee Montogue","Lennon
McCartney",1964,,
"""Slow Down""","UK: *Long Tall Sally* (EP)
US: *Something New*",Larry Williams,Lennon,1964,,[34][15]
"""So How Come (No One Loves Me)""",*Live at the BBC*,Felice and Boudleaux Bryant,Harrison,1963,,[28]
"""Soldier of Love (Lay Down Your Arms)""",*Live at the BBC*,"Buzz Cason
Tony Moon",Lennon,1963,,[28]
"""Some Other Guy""",*Live at the BBC*,"Jerry Leiber and Mike Stoller
Richie Barrett","Lennon
McCartney",1963,,[28]
"""Something""",*Abbey Road*,Harrison,Harrison[38],1969,,[26]
"""Sour Milk Sea""",*The Beatles* (2018 Super Deluxe Edition),Harrison,Harrison,1968,,
"""Step Inside Love/Los Paranoias""",*Anthology 3*,"McCartney (""Step Inside Love”)
Lennon–McCartney
Harrison–Starr (""Los Paranoias”)",McCartney,1968,"""Step Inside Love"" was recorded by Cilla Black
(1968)",[11]
"""St. Louis Blues""",*The Beatles* (2018 Deluxe Edition),W.C. Handy,,1968,,
"""Strawberry Fields Forever""",*Magical Mystery Tour*,Lennon,Lennon,1966,,[13]
"""Sun King""",*Abbey Road*,Lennon,"Lennon
(with McCartney and Harrison)",1969,,[26]
"""Sure to Fall (in Love with You)""",*Live at the BBC*,"Carl Perkins
Quinton Claunch
Bill Cantrell",McCartney,1963,,[28]
"""Sweet Little Sixteen""",*Live at the BBC*,Chuck Berry,Lennon,1963,,[28]
"""Take Good Care of My Baby""",,"Gerry Goffin
Carole King",Harrison,1962,,
"""Taking a Trip to Carolina""",*Let It Be... Naked* – *Fly on the Wall* bonus disc,Starr,Starr,1969,,
"""A Taste of Honey""","UK: *Please Please Me*
US: *The Early Beatles*","Bobby Scott
Ric Marlow",McCartney,1963,,[17]
"""Taxman""",*Revolver*,Harrison,"Harrison
(with Lennon and McCartney)",1966,,[16]
"""Teddy Boy""",*Anthology 3*,McCartney,McCartney,1969,,[11]
"""Tell Me What You See""","UK: *Help!*
US: *Beatles VI*","McCartney
(with Lennon)","McCartney
(with Lennon)",1965,,[6][22]
"""Tell Me Why""","UK: *A Hard Day's Night*
US: *Something New*",Lennon,Lennon,1964,,[14][15]
"""Thank You Girl""","UK: *Rarities*
US: *The Beatles' Second Album*","Lennon
McCartney","Lennon
McCartney",1963,,[31]
"""That Means a Lot""",*Anthology 2*,McCartney,McCartney,1965,"Recorded by P.J. Proby
(1965)",[4]
"""That'll Be the Day""",*Anthology 1*,"Jerry Allison
Buddy Holly
Norman Petty",Lennon,1958,,[8]
"""That’s All Right (Mama)""",*Live at the BBC*,Arthur Crudup,McCartney,1963,,[28]
"""There's a Place""","UK: *Please Please Me*
US: *Rarities*","Lennon
McCartney","Lennon
McCartney",1963,,[17]
"""Things We Said Today""","UK: *A Hard Day's Night*
US: *Something New*",McCartney,McCartney,1964,,[14][15]
"""Think for Yourself""",*Rubber Soul*,Harrison,Harrison,1965,,[32]
"""This Boy""","UK: *Rarities*
US: *Meet the Beatles!*",Lennon,"Lennon
(with McCartney and Harrison)",1963,,[10]
"""Three Cool Cats""",*Anthology 1*,Jerry Leiber and Mike Stoller,Harrison,1962,,[8]
"""Ticket to Ride""",*Help!*,Lennon,"Lennon
(with McCartney)",1965,,[6]
"""Till There Was You""","UK: *With the Beatles*
US: *Meet the Beatles!*",Meredith Willson,McCartney,1963,,[9][10]
"""Tip of My Tongue""",Unreleased,"Lennon
McCartney","Lennon
McCartney",1963,"Recorded by Tommy Quickly
(released in 1963)",
"""To Know Her Is to Love Her""",*Live at the BBC*,Phil Spector,Lennon,1963,,[28]
"""Tomorrow Never Knows""",*Revolver*,Lennon,Lennon,1966,,[16]
"""Too Much Monkey Business""",*Live at the BBC*,Chuck Berry,Lennon,1963,,[28]
"""Twist and Shout""","UK: *Please Please Me*
US: *The Early Beatles*","Phil Medley
Bert Berns",Lennon,1963,,[17]
"""Two of Us""",*Let It Be*,McCartney,"McCartney
(with Lennon)",1969,,[5]
"""Wait""",*Rubber Soul*,McCartney,McCartney and Lennon,1965,,[32]
"""Watching Rainbows""",,"Lennon
and McCartney",Lennon,1969,,
"""We Can Work It Out""","UK: *A Collection of Beatles Oldies*
US: *Yesterday and Today*","McCartney
(with Lennon)","McCartney
(with Lennon)",1965,,[21][7]
"""What Goes On""","UK: *Rubber Soul*
US: *Yesterday and Today*","Lennon
McCartney
Starr[d]",Starr,1965,,[32][7]
"""What You're Doing""","UK: *Beatles for Sale*
US: *Beatles VI*",McCartney,McCartney,1964,,[18][22]
"""What's the New Mary Jane""",*Anthology 3*,Lennon,Lennon,1968,,[11]
"""When I Get Home""","UK: *A Hard Day's Night*
US: *Something New*",Lennon,Lennon,1964,,[14][15]
"""When I'm Sixty-Four""",*Sgt. Pepper's Lonely Hearts Club Band*,McCartney,McCartney,1966,,[27]
"""While My Guitar Gently Weeps""",*The Beatles*,Harrison,Harrison,1968,,[20]
"""Why Don't We Do It in the Road?""",*The Beatles*,McCartney,McCartney,1968,,[20]
"""Wild Honey Pie""",*The Beatles*,McCartney,McCartney,1968,,[20]
"""With a Little Help from My Friends""",*Sgt. Pepper's Lonely Hearts Club Band*,"Lennon
McCartney","Starr
(with Lennon and McCartney)",1967,,[27]
"""Within You Without You""",*Sgt. Pepper's Lonely Hearts Club Band*,Harrison,Harrison,1967,,[27]
"""Woman""",*Let It Be* film,McCartney (as Bernard Webb),McCartney,1965,"Single by Peter and Gordon
(January 1966)",
"""The Word""",*Rubber Soul*,"Lennon
McCartney","Lennon
(with McCartney and Harrison)",1965,,[32]
"""Words of Love""","UK: *Beatles for Sale*
US: *Beatles VI*",Buddy Holly,"Lennon
McCartney",1964,,[18][22]
"""Yellow Submarine""",*Revolver*,"McCartney
(with Lennon)",Starr,1966,,[16]
"""Yer Blues""",*The Beatles*,Lennon,Lennon,1968,,[20]
"""Yes It Is""","UK: *Rarities*
US: *Beatles VI*",Lennon,"Lennon, McCartney and Harrison",1965,,[22]
"""Yesterday""","UK: *Help!*
US: *Yesterday and Today*",McCartney,McCartney,1965,,[6][7]
"""You Can't Do That""","UK: *A Hard Day's Night*
US: *The Beatles' Second Album*",Lennon,Lennon,1964,,[14][31]
"""You Know My Name (Look Up the Number)""","UK: *Rarities*
US: *Rarities*","Lennon
(with McCartney)","Lennon
McCartney",1967,,
"""You Know What to Do""",*Anthology 1*,Harrison,Harrison,1964,,[8]
"""You Like Me Too Much""","UK: *Help!*
US: *Beatles VI*",Harrison,Harrison,1965,,[6]
"""You Never Give Me Your Money""",*Abbey Road*,McCartney[39],McCartney,1969,,[26]
"""You Won't See Me""",*Rubber Soul*,McCartney,McCartney,1965,,[32]
"""You'll Be Mine""",*Anthology 1*,"Lennon
McCartney",McCartney,1960,,[8]
"""Young Blood""",*Live at the BBC*,Jerry Leiber and Mike Stoller,Harrison,1963,,[28]
"""Your Mother Should Know""",*Magical Mystery Tour*,McCartney,McCartney,1967,,[13]
"""You're Going to Lose That Girl""",*Help!*,Lennon,Lennon,1965,,[6]
"""(You're So Square) Baby I Don't Care""","""The White Album"" (2018 Super Deluxe Edition)",Jerry Leiber and Mike Stoller,,1968,,
"""You've Got to Hide Your Love Away""",*Help!*,Lennon,Lennon,1965,,[6]
"""You've Really Got a Hold on Me""","UK: *With the Beatles*
US: *The Beatles' Second Album*",Smokey Robinson,Lennon and Harrison,1963,,[9][31]
